ts,type,side,price_ticks,qty,id
1784862862104313990,add,buy,652499,8131315,1
1784862862104313990,add,buy,652497,267484,2
1784862862104313990,add,buy,652496,766287,3
1784862862104313990,add,buy,652486,766300,4
1784862862104313990,add,buy,652483,30647,5
1784862862104313990,add,buy,652481,60877,6
1784862862104313990,add,buy,652477,76619,7
1784862862104313990,add,buy,652470,26007,8
1784862862104313990,add,buy,652465,30653,9
1784862862104313990,add,buy,652455,51,10
1784862862104313990,add,buy,652452,246951,11
1784862862104313990,add,buy,652447,766345,12
1784862862104313990,add,buy,652446,367,13
1784862862104313990,add,buy,652442,1052077,14
1784862862104313990,add,buy,652440,2564196,15
1784862862104313990,add,buy,652437,95562,16
1784862862104313990,add,buy,652436,400000,17
1784862862104313990,add,buy,652434,613,18
1784862862104313990,add,buy,652433,59000,19
1784862862104313990,add,buy,652428,2316738,20
1784862862104313990,add,buy,652423,51,21
1784862862104313990,add,buy,652395,2299220,22
1784862862104313990,add,buy,652390,51,23
1784862862104313990,add,buy,652380,50589,24
1784862862104313990,add,buy,652379,70000,25
1784862862104313990,add,sell,652500,1549939,26
1784862862104313990,add,sell,652517,20778,27
1784862862104313990,add,sell,652518,1532,28
1784862862104313990,add,sell,652519,51,29
1784862862104313990,add,sell,652552,51,30
1784862862104313990,add,sell,652584,51,31
1784862862104313990,add,sell,652595,20775,32
1784862862104313990,add,sell,652616,30622,33
1784862862104313990,add,sell,652617,51,34
1784862862104313990,add,sell,652626,42263,35
1784862862104313990,add,sell,652627,81053,36
1784862862104313990,add,sell,652628,1532,37
1784862862104313990,add,sell,652632,59000,38
1784862862104313990,add,sell,652641,488661,39
1784862862104313990,add,sell,652642,766118,40
1784862862104313990,add,sell,652658,766098,41
1784862862104313990,add,sell,652673,295,42
1784862862104313990,add,sell,652674,21038,43
1784862862104313990,add,sell,652685,2000,44
1784862862104313990,add,sell,652687,901133,45
1784862862104313990,add,sell,652692,1532,46
1784862862104313990,add,sell,652695,592155,47
1784862862104313990,add,sell,652697,1426233,48
1784862862104313990,add,sell,652698,59000,49
1784862862104313990,add,sell,652707,766041,50
1784862862328090879,cancel,sell,652628,0,37
1784862862328090879,add,sell,652716,125847,51
1784862862328294928,cancel,sell,652626,0,35
1784862862328294928,add,sell,652626,43795,52
1784862862328341672,cancel,sell,652697,0,48
