ts,equity
1784862862104313990,1e+06
1784862862328439836,999299
1784862862376760610,999299
1784862864365112120,999992
1784862867019204884,999992
1784862867482783406,999992
1784862870109229792,999992
1784862871011342893,999992
1784862871695093461,999992
1784862872135743011,999992
1784862872382976884,999992
1784862872652661814,999992
1784862872661187010,999992
1784862872785336791,999992
1784862872922691311,999992
1784862873340950960,999992
1784862874337910960,999992
1784862875244458430,999992
1784862879716548392,999992
1784862880842635577,999992
1784862882482184479,999992
1784862883299598383,999992
1784862884529069492,999992
1784862884621781540,999992
1784862884842753469,999992
1784862884866807961,999992
1784862884887943922,999992
1784862884931042975,999992
1784862884962212806,999992
1784862885504049959,999992
1784862887808770950,999992
1784862888395227570,999992
1784862889037110556,999992
1784862889053943720,999992
1784862889065132421,999992
1784862889136063272,999992
1784862889550412551,1e+06
1784862890777865136,999992
1784862891857208941,999992
1784862892847351842,999992
1784862894667529408,1e+06
1784862895080218440,999992
1784862895110135039,999992
1784862895297015446,999992
1784862896100179870,999992
1784862896731699909,999992
1784862897073970374,999992
1784862898250821374,999992
1784862899789867161,1e+06
1784862899790617447,999436
1784862899791191970,999436
1784862899791716894,999436
1784862899792242946,999436
1784862899867817026,999514
1784862899961264860,999805
1784862900103589981,999805
1784862900377553870,999805
1784862900611361261,999805
1784862900827682976,999882
1784862901149145457,999805
1784862902408497944,999805
1784862904416177212,999805
1784862904659242522,999805
1784862905039230146,999805
1784862905177851888,999805
1784862905298792230,999805
1784862906536641784,999805
1784862907892853190,999805
1784862908923183001,999805
1784862910213560906,999805
1784862911778237904,999805
1784862911778237904,998716
1784862911779559448,998320
1784862911780227667,998364
1784862911780760304,998062
1784862911782406535,998039
1784862911789527972,998006
1784862911797520470,998375
1784862911836489446,998006
1784862911905628120,998006
1784862911978232449,998012
1784862912026259524,998001
1784862912126519772,997990
1784862912230324605,997979
1784862912334019165,997968
1784862912436574494,997968
1784862912543480257,997952
1784862912634283258,997940
1784862912762492751,997930
1784862912847207117,998034
1784862912866784265,997918
1784862912879981094,997918
1784862912998588471,997913
1784862913205939275,997918
1784862913388378907,997935
1784862913699332431,997935
1784862913970940482,997935
1784862914433251302,997748
1784862914648012463,997957
1784862915009305696,997748
1784862915766791704,997748
1784862916046993453,997748
1784862916234237808,997748
1784862916239792817,997748
1784862916256212095,997748
1784862916263521365,997748
1784862916292715095,997748
1784862916293824487,997748
1784862916332740593,997748
1784862916368539012,997748
1784862916406784663,997577
1784862916445941858,997572
1784862916465998441,997275
1784862916497382470,997275
1784862916532608626,997275
1784862916544581888,997275
1784862916553878406,997275
1784862916585632772,997275
1784862916611377673,997220
1784862916619043057,997220
1784862916648272021,997220
1784862916652607996,997220
1784862916670710405,997220
1784862916679563670,997220
1784862916705265088,997220
1784862916715063766,997226
1784862916752816599,997220
1784862916753329896,997220
1784862916761360305,997220
1784862916820873885,997220
1784862916877955374,997220
1784862917097963156,997220
1784862917122308857,997220
1784862917147471978,997220
1784862917162346084,997060
1784862917163043677,996813
1784862917169022434,996456
1784862917183971469,996362
