ts,equity
1784862862104313990,1e+06
1784862862328439836,1e+06
1784862862376760610,999999
1784862864365112120,999999
1784862867019204884,999999
1784862867482783406,999999
1784862870109229792,999999
1784862871011342893,999999
1784862871695093461,999999
1784862872135743011,999999
1784862872382976884,999999
1784862872652661814,999999
1784862872661187010,999999
1784862872785336791,999999
1784862872922691311,999999
1784862873340950960,999999
1784862874337910960,999999
1784862875244458430,999999
1784862879716548392,999999
1784862880842635577,999999
1784862882482184479,999999
1784862883299598383,999999
1784862884529069492,999999
1784862884621781540,999999
1784862884842753469,999999
1784862884866807961,999999
1784862884887943922,999999
1784862884931042975,999999
1784862884962212806,999999
1784862885504049959,999999
1784862887808770950,999999
1784862888395227570,999999
1784862889037110556,999999
1784862889053943720,999999
1784862889065132421,999999
1784862889136063272,999999
1784862889550412551,1e+06
1784862890777865136,999999
1784862891857208941,999999
1784862892847351842,999999
1784862894667529408,1e+06
1784862895080218440,999999
1784862895110135039,999999
1784862895297015446,999999
1784862896100179870,999999
1784862896731699909,999999
1784862897073970374,999999
1784862898250821374,999999
1784862899789867161,1e+06
1784862899790617447,999841
1784862899791191970,999868
1784862899791716894,999914
1784862899792242946,999914
1784862899867817026,999914
1784862899961264860,999949
1784862900103589981,999949
1784862900377553870,999949
1784862900611361261,999949
1784862900827682976,999950
1784862901149145457,999949
1784862902408497944,999949
1784862904416177212,999949
1784862904659242522,999949
1784862905039230146,999949
1784862905177851888,999949
1784862905298792230,999949
1784862906536641784,999949
1784862907892853190,999949
1784862908923183001,999949
1784862910213560906,999949
1784862911778237904,999898
1784862911778237904,999854
1784862911779559448,999512
1784862911780227667,999512
1784862911780760304,999512
1784862911782406535,999527
1784862911789527972,999580
1784862911797520470,999566
1784862911836489446,999540
1784862911905628120,999540
1784862911978232449,999540
1784862912026259524,999540
1784862912126519772,999540
1784862912230324605,999540
1784862912334019165,999540
1784862912436574494,999540
1784862912543480257,999564
1784862912634283258,999564
1784862912762492751,999564
1784862912847207117,999518
1784862912866784265,999514
1784862912879981094,999452
1784862912998588471,999498
1784862913205939275,999498
1784862913388378907,999498
1784862913699332431,999504
1784862913970940482,999504
1784862914433251302,999458
1784862914648012463,999460
1784862915009305696,999458
1784862915766791704,999458
1784862916046993453,999458
1784862916234237808,999458
1784862916239792817,999458
1784862916256212095,999458
1784862916263521365,999458
1784862916292715095,999458
1784862916293824487,999458
1784862916332740593,999458
1784862916368539012,999458
1784862916406784663,999407
1784862916445941858,999410
1784862916465998441,999296
1784862916497382470,999296
1784862916532608626,999296
1784862916544581888,999296
1784862916553878406,999296
1784862916585632772,999296
1784862916611377673,999274
1784862916619043057,999274
1784862916648272021,999274
1784862916652607996,999274
1784862916670710405,999274
1784862916679563670,999274
1784862916705265088,999274
1784862916715063766,999274
1784862916752816599,999274
1784862916753329896,999274
1784862916761360305,999274
1784862916820873885,999274
1784862916877955374,999273
1784862917097963156,999273
1784862917122308857,999273
1784862917147471978,999273
1784862917162346084,999163
1784862917163043677,999088
1784862917169022434,998916
1784862917183971469,998884
1784862917184301887,998884
1784862917188855707,998884
1784862917189200736,998884
1784862917194650537,998884
1784862917214835766,998884
1784862917238695540,998884
1784862917269339001,998884
1784862917285461125,998838
1784862917305465546,998838
1784862917320576099,998834
1784862917321030713,998834
1784862917342015840,998834
1784862917450175375,998584
1784862917482742333,998584
1784862917601737786,998583
1784862917628426422,998583
1784862917663103550,998583
1784862917789111317,998583
1784862917896887460,998583
1784862917909958649,998583
1784862917971586504,998583
1784862918012855682,998583
1784862918029279625,998583
1784862918039388682,998586
1784862918062955440,998583
1784862918207945779,998583
1784862918318295862,998583
1784862918336096387,998583
1784862918507681400,998583
1784862918649605798,998583
1784862918677782999,998583
1784862918748767779,998583
1784862919002857379,998583
1784862919059320015,998583
1784862919199424832,998583
1784862919304555379,998583
1784862919428925607,998583
1784862919575206968,998583
1784862919590305167,998583
1784862919598909075,998583
1784862919619963022,998583
1784862919645874927,998583
1784862919661549077,998583
1784862919678678478,998583
1784862919714853471,998583
1784862919822585097,998583
1784862919920432281,998583
1784862920016925748,998583
1784862920195053968,998583
1784862920968311593,998583
1784862922212430214,998583
1784862922622742965,998583
1784862923099112515,998583
1784862923218928357,998583
1784862923637302220,998583
1784862924174940593,998583
1784862924722622827,998583
1784862925036737201,998583
1784862926323419729,998583
1784862926338743207,998583
1784862926357732179,998583
1784862926501897684,998667
1784862926507346401,998569
1784862926519074578,998575
1784862926520305036,998806
1784862926530734267,998652
1784862926551089884,998712
1784862927008378054,998712
1784862927845091193,998680
1784862928178672611,998654
1784862928262476711,998654
1784862928274973912,998610
1784862928288228183,998610
1784862928301208764,998610
1784862928320058768,998610
1784862928331054773,998610
1784862928354849388,998610
1784862928421447143,998610
1784862928480783509,998610
1784862928513454948,998610
1784862928620801046,998610
1784862928771761844,998610
1784862929060408345,998610
1784862929060672306,998610
1784862929077338067,998610
1784862929121526979,998610
1784862929414582794,998610
1784862929775171912,998610
1784862929994994246,998610
1784862930045659275,998610
1784862930088536470,998610
1784862930097360188,998610
1784862930107361229,998602
1784862930123109397,998602
1784862930240518639,998602
1784862930862158443,998602
1784862932145653529,998602
1784862932555698973,998602
1784862933879401406,998602
1784862933981392524,998602
1784862934121410074,998602
1784862934178597758,998602
1784862934206943493,998602
1784862934221895422,998590
1784862934236057758,998514
1784862934251835114,998510
1784862934272957103,998508
1784862934273670147,998372
1784862934293830455,998138
1784862934308972043,998045
1784862934321533604,998045
1784862934341481977,998010
1784862934350872401,997974
1784862934363685001,997973
1784862934374850832,997973
1784862934406254331,997976
1784862934429815552,997973
1784862934459008546,997973
1784862934491825314,997976
1784862934500334178,997973
1784862934526879347,997973
1784862934549239164,997973
1784862934563090684,997973
1784862934583998037,997973
1784862934599652590,997888
1784862934617557409,997888
1784862934635142673,997888
1784862934657664368,997888
1784862934675370419,997888
1784862934690610732,997888
1784862934698912771,997888
1784862934741780036,997888
1784862934837846108,997888
1784862934838623199,997888
1784862934913583462,997808
1784862934919128353,997808
1784862934952701778,997774
1784862934999766414,997774
1784862935079375652,997774
1784862935098781939,997774
1784862935174316034,997773
1784862935237887931,997773
1784862935379583531,997770
1784862935379985017,997648
1784862935383341058,997648
1784862935476316254,997648
1784862935683952599,997648
1784862935886959318,997648
1784862936041571448,997648
1784862936234604114,997648
1784862937063009614,997648
1784862937518378352,997648
1784862937633769282,997648
1784862938140493874,997648
1784862938267705348,997648
1784862938318403525,997639
1784862938318642732,997598
1784862938320291052,997574
1784862938320543417,997571
1784862938320808003,997434
1784862938342420831,997261
1784862938342728679,997261
1784862938358461111,997261
1784862938411031820,997251
1784862938417127114,997251
1784862938457558324,997251
