ts,equity
1784867004792229009,1e+06
1784867005220432167,999184
1784867006121902556,999656
1784867006706531742,999574
1784867007062247696,999574
1784867007062574558,999514
1784867007074118309,999453
1784867007114640445,999453
1784867007134933683,999700
1784867007173110444,999690
1784867007206457713,999690
1784867007287860940,999690
1784867007545176863,999700
1784867007561713289,999690
1784867007629586926,999690
1784867007917806656,999690
1784867008040994037,999695
1784867008074977099,999695
1784867008112014408,999992
1784867008221582574,999992
1784867008910824327,1.00001e+06
1784867013505179431,1.00001e+06
1784867013733809175,999992
1784867013949705215,999981
1784867013965894876,999981
1784867014200397068,999981
1784867014253943815,999981
1784867014299273094,999981
1784867014484281501,999981
1784867014605623221,999981
1784867015339654164,999981
1784867016260617805,999981
1784867017080419409,999981
1784867017140529921,999981
1784867017223244558,999981
1784867017590951593,999981
1784867017713705743,999981
1784867018002891995,999981
1784867019026781004,999981
1784867019208802315,999981
1784867019435839074,999981
1784867019437487885,999981
1784867019627089770,999981
1784867019989786544,999981
1784867020492802131,999981
1784867022219122048,999981
1784867022219727533,999981
1784867022220968784,999981
1784867022236971292,999981
1784867022264510628,999981
1784867022275815766,999981
1784867022361391308,999981
1784867022396337553,999981
1784867022421915641,999981
1784867022445927732,999981
1784867022471921748,999981
1784867022487501198,999981
1784867022499878398,999981
1784867022672735958,999981
1784867023047075161,999981
1784867023092311250,999981
1784867023157710722,999981
1784867023367981834,999981
1784867023458294831,999981
1784867023609525919,999981
1784867023691863101,999981
1784867024154004814,999981
1784867024467017047,999981
1784867024964294842,999981
1784867025809444522,999981
1784867025883331191,999981
1784867026008917934,999981
1784867026207168517,999981
1784867026338221798,999574
1784867026357746846,999574
1784867026359411062,999574
1784867026360018535,999574
1784867026394826537,999574
1784867026406886762,999101
1784867026409246926,999101
1784867026489757563,999101
1784867026524390045,999101
1784867026701126156,999101
1784867027055894245,999189
1784867027163443275,999189
1784867027186217866,999189
1784867027230172342,999189
1784867027276504690,999189
1784867027393349417,999189
1784867027598997695,999189
1784867028242230628,999189
1784867028242681562,999189
1784867029191431833,999260
1784867029882551417,999189
1784867030700522027,999189
1784867031512785548,999189
1784867031611391674,999189
1784867031634780693,999057
1784867031652884049,999057
1784867031665276762,999057
1784867031665747665,999057
1784867031687095942,999057
1784867031692816057,999057
1784867031703148371,998628
1784867031704138512,998622
1784867031719910966,997176
1784867031720774224,997176
1784867031740830168,997176
1784867031755578692,997176
1784867031789391603,997248
1784867031827071474,997176
1784867031867860457,997176
1784867031902622928,997176
1784867031973176090,997176
1784867032139523327,997176
1784867032165102981,997176
1784867032183990617,997176
1784867032326655403,997176
1784867032641930044,997176
1784867033044008673,997176
1784867033064489594,997176
1784867033080095468,997176
1784867033097767515,997176
1784867033135789744,997176
1784867033163209551,997176
1784867033192306705,997176
1784867033222400848,997176
1784867033357714811,997176
1784867033634985428,996896
1784867033638907890,996120
1784867033639567674,996120
1784867033646356135,996120
1784867033780223095,996120
1784867033891072484,995889
1784867034005572737,996120
1784867034027800681,996120
1784867034159974793,996120
1784867034588605725,996120
1784867034897443558,996120
1784867034920327137,996120
1784867034987628341,996120
1784867035020404543,996120
1784867035042996613,996120
1784867035056731338,995889
1784867035071027241,995559
1784867035084242136,995559
1784867035090969959,995559
1784867035106571072,995449
1784867035121499830,995449
1784867035122749588,995449
1784867035131600236,995449
1784867035141658719,995449
1784867035152027448,995449
1784867035163577482,995449
1784867035182389672,995449
1784867035191257451,995449
1784867035208294325,995449
1784867035223784577,995449
1784867035291923760,995449
1784867035304153734,995449
1784867035367474283,995449
1784867035411954337,995449
1784867035554285961,995344
1784867035603381045,995449
1784867035759444237,995449
1784867035902624901,995449
1784867036126644390,995449
1784867036442321329,995449
1784867036967931514,995449
1784867037590505689,995449
1784867038301545633,995449
1784867038607038873,995449
1784867039199483105,995449
1784867039520813180,995449
1784867040140393360,995449
1784867040140748533,995449
