ts,equity
1784867004792229009,1e+06
1784867005220432167,1e+06
1784867006121902556,999376
1784867006706531742,999171
1784867007062247696,999203
1784867007062574558,999202
1784867007074118309,999201
1784867007114640445,999201
1784867007134933683,998407
1784867007173110444,997919
1784867007206457713,997907
1784867007287860940,997907
1784867007545176863,997908
1784867007561713289,997907
1784867007629586926,997907
1784867007917806656,997907
1784867008040994037,997907
1784867008074977099,997907
1784867008112014408,997907
1784867008221582574,997908
1784867008910824327,997908
1784867013505179431,997908
1784867013733809175,997906
1784867013949705215,997904
1784867013965894876,997904
1784867014200397068,997904
1784867014253943815,997904
1784867014299273094,997904
1784867014484281501,997904
1784867014605623221,997904
1784867015339654164,997904
1784867016260617805,997904
1784867017080419409,997904
1784867017140529921,997904
1784867017223244558,997904
1784867017590951593,997904
1784867017713705743,997904
1784867018002891995,997904
1784867019026781004,997904
1784867019208802315,997904
1784867019435839074,997904
1784867019437487885,997903
1784867019627089770,997902
1784867019989786544,997902
1784867020492802131,997901
1784867022219122048,997900
1784867022219727533,997900
1784867022220968784,997900
1784867022236971292,997900
1784867022264510628,997898
1784867022275815766,997898
1784867022361391308,997898
1784867022396337553,997898
1784867022421915641,997898
1784867022445927732,997898
1784867022471921748,997898
1784867022487501198,997898
1784867022499878398,997898
1784867022672735958,997898
1784867023047075161,997898
1784867023092311250,997898
1784867023157710722,997898
1784867023367981834,997898
1784867023458294831,997898
1784867023609525919,997898
1784867023691863101,997898
1784867024154004814,997898
1784867024467017047,997898
1784867024964294842,997898
1784867025809444522,997898
1784867025883331191,997898
1784867026008917934,997913
1784867026207168517,997913
1784867026338221798,990369
1784867026357746846,979869
1784867026359411062,973041
1784867026360018535,973018
1784867026394826537,972992
1784867026406886762,972968
1784867026409246926,972944
1784867026489757563,972919
1784867026524390045,972895
1784867026701126156,974684
1784867027055894245,975838
1784867027163443275,975810
1784867027186217866,975772
1784867027230172342,975770
1784867027276504690,975770
1784867027393349417,975770
1784867027598997695,975770
1784867028242230628,975770
1784867028242681562,975767
1784867029191431833,975760
1784867029882551417,975759
1784867030700522027,975756
1784867031512785548,975753
1784867031611391674,975752
1784867031634780693,974493
1784867031652884049,973186
1784867031665276762,973060
1784867031665747665,973030
1784867031687095942,973013
1784867031692816057,972999
1784867031703148371,972974
1784867031704138512,972952
1784867031719910966,972437
1784867031720774224,972435
1784867031740830168,972435
1784867031755578692,972435
1784867031789391603,972435
1784867031827071474,972435
1784867031867860457,972435
1784867031902622928,972435
1784867031973176090,972435
1784867032139523327,972435
1784867032165102981,972435
1784867032183990617,972435
1784867032326655403,972435
1784867032641930044,972435
1784867033044008673,972435
1784867033064489594,972435
1784867033080095468,972435
1784867033097767515,972435
1784867033135789744,972435
1784867033163209551,972435
1784867033192306705,972435
1784867033222400848,972435
1784867033357714811,972435
1784867033634985428,970047
1784867033638907890,959779
1784867033639567674,959489
1784867033646356135,959474
1784867033780223095,959457
1784867033891072484,960380
1784867034005572737,960776
1784867034027800681,960768
1784867034159974793,960765
1784867034588605725,960765
1784867034897443558,960765
1784867034920327137,960765
1784867034987628341,960765
1784867035020404543,960765
1784867035042996613,960764
1784867035056731338,960764
1784867035071027241,958912
1784867035084242136,958893
1784867035090969959,958870
1784867035106571072,958853
1784867035121499830,958840
1784867035122749588,958837
1784867035131600236,958837
1784867035141658719,958837
1784867035152027448,958837
1784867035163577482,958837
1784867035182389672,958837
1784867035191257451,958837
1784867035208294325,958837
1784867035223784577,958837
1784867035291923760,958837
1784867035304153734,958837
1784867035367474283,958837
1784867035411954337,958837
1784867035554285961,958837
1784867035603381045,958837
1784867035759444237,958837
1784867035902624901,958837
1784867036126644390,958837
1784867036442321329,958837
1784867036967931514,958837
1784867037590505689,958841
1784867038301545633,958841
1784867038607038873,958841
1784867039199483105,958841
1784867039520813180,958841
1784867040140393360,958837
1784867040140748533,958836
1784867040186681106,958828
1784867040603286963,958826
1784867040861155440,958826
1784867041021243026,958826
1784867041677762341,958826
1784867041695247258,958826
1784867041701855437,958826
1784867041826234286,958826
1784867041896343975,958826
1784867041969954441,958825
1784867042069348004,958821
1784867042170936037,958819
1784867042265711987,958815
1784867042434275190,958815
1784867042653342349,958815
1784867043065214176,958815
1784867043539285196,958815
1784867044744662974,958813
1784867044793030765,958813
1784867044816252657,958813
1784867044921455962,958813
1784867045162198930,958813
1784867045916145903,958813
1784867046145837530,958812
1784867046198858381,958807
1784867046250807484,958807
1784867046268817589,958807
1784867046295138052,958807
1784867046494930223,958806
1784867046965771709,958805
1784867047193956482,958805
1784867048009204490,958805
1784867048824988577,958805
1784867049101877777,958805
1784867049742368043,958805
1784867051081844838,958804
1784867051758219082,958803
1784867051799774799,958803
1784867052010296948,958801
1784867052171796560,958801
1784867052185042352,958800
1784867052241142841,958800
1784867052952709518,958800
1784867053130912812,958798
1784867053425716891,958796
1784867053700859771,958796
1784867054062529453,958796
1784867054266216847,958796
1784867054839111298,958796
1784867055246617909,958796
1784867055594166851,958796
1784867056014361609,958796
1784867056554368089,958804
1784867056966580722,958797
1784867057323029593,958795
1784867057570952055,958794
1784867057856027670,958793
1784867058240274165,958793
1784867058695879554,958793
1784867059019750645,958792
1784867059100686996,958788
1784867059157958685,958787
1784867059275762505,958786
1784867059821291894,958783
1784867061534532702,958781
1784867061718779005,958779
1784867061744761166,958779
1784867061774909040,958775
1784867061799297333,958775
1784867061823494104,958775
1784867061849882911,958772
1784867061862675379,958772
1784867061926634652,958772
1784867061962660824,958771
1784867061981332452,958766
1784867061992529015,958759
1784867062018913362,958752
1784867062057638763,958752
1784867062075318578,958752
1784867062099517735,958752
1784867062210200004,958752
1784867062277748216,958752
1784867062407027453,958752
1784867062486904176,958752
1784867062487246875,958752
1784867062500275876,958752
1784867062524171458,958752
1784867062573601726,958752
1784867062689649141,958752
1784867062944603132,958752
1784867063059598210,958752
1784867063163233671,958752
1784867063274589042,958752
1784867063311805035,958752
1784867063344691212,958752
1784867063582646025,958752
1784867063705750877,958752
1784867063722007724,958752
1784867063765772462,958752
1784867063836585094,958752
1784867063838185633,947119
1784867063838334990,935938
1784867063852338726,933641
1784867063857879999,920144
1784867063925004276,906648
1784867064021013635,932468
1784867064078103509,932339
1784867064331214073,932331
1784867064925866076,932323
1784867065456302921,932315
1784867065858744568,932307
1784867066374157232,932299
1784867066393911792,918099
1784867066399905802,913464
1784867066412775526,912027
1784867066454903876,911198
1784867066503980390,909033
1784867066565161095,909017
1784867066606779563,909002
1784867066685804771,909093
1784867066690811760,909069
1784867066691341947,909046
1784867066706334928,911613
1784867066767775193,911605
1784867066965468159,911598
1784867066965775960,911591
1784867066988884935,911581
1784867067067991910,911467
1784867067243890298,911565
1784867067253703837,911558
1784867067271436815,910554
1784867067275845157,910554
1784867067344438876,910535
1784867067409886159,910535
1784867067582973589,910777
1784867067935315197,911184
1784867068536698250,910710
1784867068553784542,910710
1784867068625248708,910624
1784867068655041316,910606
1784867068943300370,910568
1784867069233732515,910567
1784867069771065147,910567
1784867070033570630,910567
1784867071061559528,910567
1784867072405874436,910567
1784867072672151606,910567
1784867073088978531,910570
1784867073863610192,910567
1784867073875340186,910567
1784867073942212003,910567
1784867074210260054,910567
1784867075183300743,910567
1784867075776591808,910567
1784867076312113865,910567
1784867076559229183,910567
1784867077033971845,910567
1784867077611291048,910567
1784867079481602672,910565
1784867079921281782,910565
1784867080305955131,910565
1784867080312414671,910565
1784867080318325406,910560
1784867080331424635,910551
