ts,equity
1784867004792229009,1e+06
1784867005220432167,1e+06
1784867006121902556,1e+06
1784867006706531742,1e+06
1784867007062247696,1e+06
1784867007062574558,1e+06
1784867007074118309,1e+06
1784867007114640445,1e+06
1784867007134933683,1e+06
1784867007173110444,1e+06
1784867007206457713,1e+06
1784867007287860940,1e+06
1784867007545176863,1e+06
1784867007561713289,1e+06
1784867007629586926,1e+06
1784867007917806656,1e+06
1784867008040994037,1e+06
1784867008074977099,1e+06
1784867008112014408,999999
1784867008221582574,999999
1784867008910824327,1e+06
1784867013505179431,1e+06
1784867013733809175,999999
1784867013949705215,999996
1784867013965894876,999996
1784867014200397068,999996
1784867014253943815,999996
1784867014299273094,999996
1784867014484281501,999996
1784867014605623221,999996
1784867015339654164,999996
1784867016260617805,999996
1784867017080419409,999996
1784867017140529921,999996
1784867017223244558,999996
1784867017590951593,999996
1784867017713705743,999996
1784867018002891995,999996
1784867019026781004,999996
1784867019208802315,999996
1784867019435839074,999996
1784867019437487885,999996
1784867019627089770,999996
1784867019989786544,999996
1784867020492802131,999996
1784867022219122048,999996
1784867022219727533,999996
1784867022220968784,999996
1784867022236971292,999996
1784867022264510628,999996
1784867022275815766,999996
1784867022361391308,999996
1784867022396337553,999996
1784867022421915641,999996
1784867022445927732,999996
1784867022471921748,999996
1784867022487501198,999996
1784867022499878398,999996
1784867022672735958,999996
1784867023047075161,999996
1784867023092311250,999996
1784867023157710722,999996
1784867023367981834,999996
1784867023458294831,999996
1784867023609525919,999996
1784867023691863101,999996
1784867024154004814,999996
1784867024467017047,999996
1784867024964294842,999996
1784867025809444522,999996
1784867025883331191,999996
1784867026008917934,999996
1784867026207168517,999996
1784867026338221798,999840
1784867026357746846,999840
1784867026359411062,999840
1784867026360018535,999840
1784867026394826537,999840
1784867026406886762,999585
1784867026409246926,999585
1784867026489757563,999585
1784867026524390045,999585
1784867026701126156,999657
1784867027055894245,999657
1784867027163443275,999657
1784867027186217866,999657
1784867027230172342,999657
1784867027276504690,999657
1784867027393349417,999657
1784867027598997695,999657
1784867028242230628,999657
1784867028242681562,999657
1784867029191431833,999660
1784867029882551417,999657
1784867030700522027,999657
1784867031512785548,999657
1784867031611391674,999657
1784867031634780693,999599
1784867031652884049,999575
1784867031665276762,999575
1784867031665747665,999575
1784867031687095942,999575
1784867031692816057,999575
1784867031703148371,999208
1784867031704138512,999185
1784867031719910966,998740
1784867031720774224,998740
1784867031740830168,998740
1784867031755578692,998740
1784867031789391603,998740
1784867031827071474,998740
1784867031867860457,998740
1784867031902622928,998740
1784867031973176090,998740
1784867032139523327,998740
1784867032165102981,998740
1784867032183990617,998740
1784867032326655403,998740
1784867032641930044,998740
1784867033044008673,998740
1784867033064489594,998740
1784867033080095468,998740
1784867033097767515,998740
1784867033135789744,998740
1784867033163209551,998740
1784867033192306705,998740
1784867033222400848,998740
1784867033357714811,998740
1784867033634985428,998612
1784867033638907890,998260
1784867033639567674,998260
1784867033646356135,998260
1784867033780223095,998260
1784867033891072484,998260
1784867034005572737,998260
1784867034027800681,998260
1784867034159974793,998260
1784867034588605725,998260
1784867034897443558,998260
1784867034920327137,998260
1784867034987628341,998260
1784867035020404543,998260
1784867035042996613,998260
1784867035056731338,998102
1784867035071027241,998005
1784867035084242136,998005
1784867035090969959,998005
1784867035106571072,997955
1784867035121499830,997955
1784867035122749588,997955
1784867035131600236,997955
1784867035141658719,997955
1784867035152027448,997955
1784867035163577482,997955
1784867035182389672,997955
1784867035191257451,997955
1784867035208294325,997955
1784867035223784577,997955
1784867035291923760,997955
1784867035304153734,997955
1784867035367474283,997955
1784867035411954337,997955
1784867035554285961,997955
1784867035603381045,997955
1784867035759444237,997955
1784867035902624901,997955
1784867036126644390,997955
1784867036442321329,997955
1784867036967931514,997955
1784867037590505689,997955
1784867038301545633,997955
1784867038607038873,997955
1784867039199483105,997955
1784867039520813180,997955
1784867040140393360,997955
1784867040140748533,997955
1784867040186681106,997955
1784867040603286963,997955
1784867040861155440,997955
1784867041021243026,997955
1784867041677762341,997955
1784867041695247258,997955
1784867041701855437,997955
1784867041826234286,997955
1784867041896343975,997955
1784867041969954441,997955
1784867042069348004,997955
1784867042170936037,997955
1784867042265711987,997955
1784867042434275190,997955
1784867042653342349,997955
1784867043065214176,997955
1784867043539285196,997955
1784867044744662974,997955
1784867044793030765,997955
1784867044816252657,997955
1784867044921455962,997955
1784867045162198930,997955
1784867045916145903,997955
1784867046145837530,997955
1784867046198858381,997955
1784867046250807484,997955
1784867046268817589,997955
1784867046295138052,997955
1784867046494930223,997955
1784867046965771709,997955
1784867047193956482,997955
1784867048009204490,997955
1784867048824988577,997955
1784867049101877777,997955
1784867049742368043,997955
1784867051081844838,997955
1784867051758219082,997955
1784867051799774799,997955
1784867052010296948,997955
1784867052171796560,997955
1784867052185042352,997955
1784867052241142841,997955
1784867052952709518,997955
1784867053130912812,997955
1784867053425716891,997955
1784867053700859771,997955
1784867054062529453,997955
1784867054266216847,997955
1784867054839111298,997955
1784867055246617909,997955
1784867055594166851,997955
1784867056014361609,997955
1784867056554368089,997955
1784867056966580722,997955
1784867057323029593,997955
1784867057570952055,997955
1784867057856027670,997955
1784867058240274165,997955
1784867058695879554,997955
1784867059019750645,997955
1784867059100686996,997955
1784867059157958685,997955
1784867059275762505,997955
1784867059821291894,997955
1784867061534532702,997955
1784867061718779005,997955
1784867061744761166,997955
1784867061774909040,997955
1784867061799297333,997955
1784867061823494104,997955
1784867061849882911,997955
1784867061862675379,997955
1784867061926634652,997955
1784867061962660824,997955
1784867061981332452,997955
1784867061992529015,997955
1784867062018913362,997955
1784867062057638763,997955
1784867062075318578,997955
1784867062099517735,997955
1784867062210200004,997955
1784867062277748216,997955
1784867062407027453,997957
1784867062486904176,997955
1784867062487246875,997955
1784867062500275876,997955
1784867062524171458,997955
1784867062573601726,997955
1784867062689649141,997955
1784867062944603132,997955
1784867063059598210,997955
1784867063163233671,997955
1784867063274589042,997955
1784867063311805035,997955
1784867063344691212,997955
1784867063582646025,997955
1784867063705750877,997955
1784867063722007724,997955
1784867063765772462,997955
1784867063836585094,997955
1784867063838185633,998065
1784867063838334990,998065
1784867063852338726,998043
1784867063857879999,998043
1784867063925004276,998043
1784867064021013635,998043
1784867064078103509,998043
1784867064331214073,998043
1784867064925866076,998043
1784867065456302921,998043
1784867065858744568,998043
1784867066374157232,998043
1784867066393911792,998043
1784867066399905802,998043
1784867066412775526,998043
1784867066454903876,998043
1784867066503980390,998043
1784867066565161095,998043
1784867066606779563,998043
1784867066685804771,997952
1784867066690811760,997840
1784867066691341947,997831
1784867066706334928,997831
1784867066767775193,997831
1784867066965468159,997831
1784867066965775960,997831
1784867066988884935,997831
1784867067067991910,997828
1784867067243890298,997831
1784867067253703837,997831
1784867067271436815,997831
1784867067275845157,997831
1784867067344438876,997831
1784867067409886159,997831
1784867067582973589,997831
1784867067935315197,997831
1784867068536698250,997831
1784867068553784542,997831
1784867068625248708,997831
1784867068655041316,997831
1784867068943300370,997831
1784867069233732515,997831
1784867069771065147,997831
1784867070033570630,997831
1784867071061559528,997831
1784867072405874436,997831
1784867072672151606,997831
1784867073088978531,997831
1784867073863610192,997831
1784867073875340186,997831
1784867073942212003,997831
1784867074210260054,997831
1784867075183300743,997831
1784867075776591808,997831
1784867076312113865,997831
1784867076559229183,997831
1784867077033971845,997831
1784867077611291048,997831
1784867079481602672,997831
1784867079921281782,997831
1784867080305955131,997831
